Movie Name,Rating,Votes,Duration,Genre
Anora,7.6,151000,139,Comedy
Moana 2,6.7,87000,100,Comedy
A Real Pain,7.1,76000,90,Comedy
Emilia Pérez,5.4,84000,132,Comedy
Sonic the Hedgehog 3,6.9,52000,110,Comedy
The Ministry of Ungentlemanly Warfare,6.8,132000,122,Comedy
Deadpool & Wolverine,7.6,479000,128,Comedy
The Day the Earth Blew Up: A Looney Tunes Movie,6.9,1900,91,Comedy
Borderlands,4.7,45000,101,Comedy
Paddington in Peru,6.7,17000,106,Comedy
Saturday Night,6.9,29000,109,Comedy
Night of the Zoopocalypse,6.3,324,91,Comedy
Despicable Me 4,6.2,62000,94,Comedy
Riff Raff,6.3,812,103,Comedy
Old Guy,5.1,1700,94,Comedy
The Fall Guy,6.8,216000,126,Comedy
F*** Marry Kill,5.2,1800,97,Comedy
A Different Man,6.9,27000,112,Comedy
Kinds of Kindness,6.5,58000,164,Comedy
Beetlejuice Beetlejuice,6.7,143000,105,Comedy
Inside Out 2,7.5,211000,96,Comedy
Fly Me to the Moon,6.6,48000,132,Comedy
Thelma,7,21000,98,Comedy
Red One,6.3,137000,123,Comedy
Friendship,7.5,210,100,Comedy
Nightbitch,5.6,18000,99,Comedy
Bad Boys: Ride or Die,6.5,98000,115,Comedy
Superboys of Malegaon,8,1100,127,Comedy
My Old Ass,6.9,37000,89,Comedy
IF,6.4,57000,104,Comedy
It's What's Inside,6.6,41000,103,Comedy
Ghostbusters: Frozen Empire,6.1,92000,115,Comedy
The Killer's Game,5.7,16000,104,Comedy
Argylle,5.6,91000,139,Comedy
The Idea of You,6.3,72000,115,Comedy
Kneecap,7.6,17000,105,Comedy
Spermageddon,5.7,600,80,Comedy
Rumours,5,4200,104,Comedy
Mean Girls,5.5,37000,112,Comedy
The Union,5.4,52000,107,Comedy
Snack Shack,7,11000,112,Comedy
Eephus,7,278,98,Comedy
Freaky Tales,6.5,365,106,Comedy
My Dead Friend Zoe,7.1,1200,103,Comedy
Hard Truths,7.3,4500,97,Comedy
Wallace & Gromit: Vengeance Most Fowl,7.5,33000,82,Comedy
