Movie Name,Rating,Votes,Duration,Genre
Kraven the Hunter,5.4,44000,127,Action
Gladiator II,6.6,216000,148,Action
Sonic the Hedgehog 3,6.9,52000,110,Action
Venom: The Last Dance,6.0,107000,110,Action
Dune: Part Two,8.5,612000,166,Action
Pushpa: The Rule - Part 2,6.1,54000,201,Action
William Tell,5.8,1700,133,Action
Elevation,5.6,19000,91,Action
The Lord of the Rings: The War of the Rohirrim,6.3,28000,134,Action
The Ministry of Ungentlemanly Warfare,6.8,132000,122,Action
Furiosa: A Mad Max Saga,7.5,280000,148,Action
Deadpool & Wolverine,7.6,479000,128,Action
Borderlands,4.7,45000,101,Action
Hellboy: The Crooked Man,4.5,12000,99,Action
Twisters,6.5,160000,122,Action
Civil War,7.0,232000,109,Action
Old Guy,5.1,1700,94,Action
The Count of Monte-Cristo,7.6,32000,178,Action
The Beekeeper,6.3,153000,105,Action
Carry-On,6.5,159000,119,Action
Marco,6.9,20000,145,Action
The Fall Guy,6.8,216000,126,Action
Rebel Ridge,6.8,86000,131,Action
Homestead,5.4,3300,112,Action
The Crow,4.7,32000,111,Action
Thelma,7.0,21000,98,Action
Kingdom of the Planet of the Apes,6.9,149000,145,Action
Road House,6.2,166000,121,Action
Red One,6.3,137000,123,Action
Transformers One,7.6,47000,104,Action
Solo Leveling: ReAwakening,8.7,6800,121,Action
Bad Boys: Ride or Die,6.5,98000,115,Action
Love Lies Bleeding,6.6,56000,104,Action
Damsel,6.1,108000,110,Action
Land of Bad,6.6,50000,113,Action
The Killer's Game,5.7,16000,104,Action
Argylle,5.6,91000,139,Action
Madame Web,4.0,99000,116,Action
Godzilla x Kong: The New Empire,6.1,119000,115,Action
Dirty Angels,4.3,3100,104,Action
The Union,5.4,52000,107,Action
Monkey Man,6.8,90000,121,Action
Aftermath,5.1,3400,97,Action
Azrael,5.4,10000,86,Action
Freaky Tales,6.5,365,106,Action
Attack on Titan the Movie: The Last Attack,9.3,14000,145,Action
Drive-Away Dolls,5.4,23000,84,Action
Werewolves,4.4,6000,93,Action
Uglies,4.7,32000,100,Action
Kung Fu Panda 4,6.3,67000,94,Action
Absolution,5.2,7400,112,Action
Arcadian,5.5,22000,92,Action
Blitz,6.2,16000,120,Action
The Instigators,6.2,37000,101,Action
Lift,5.5,49000,107,Action
Beverly Hills Cop: Axel F,6.4,80000,118,Action
The Killer,5.7,12000,126,Action
Hitpig,5.1,829,86,Action
Apocalypse Z: The Beginning of the End,6.1,19000,117,Action
The Silent Hour,6.1,7000,99,Action
Maharaja,8.4,65000,141,Action
Classified,3.6,2200,105,Action
Kalki 2898 AD,7.0,66000,180,Action
Descendants: The Rise of Red,4.7,6900,91,Action
Brothers,5.4,13000,89,Action
Atlas,5.6,55000,118,Action
Canary Black,5.4,11000,101,Action
Baby John,5.4,17000,159,Action
Survive,4.6,2100,90,Action
Long Gone Heroes,5.2,968,101,Action
Weekend in Taipei,5.7,4400,100,Action
Watchmen: Chapter I,7.0,6300,83,Action
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,Action
Gunner,3.2,2300,106,Action
Hagen,6.1,1000,139,Action
Jackpot!,5.8,30000,106,Action
Cash Out,4.8,2800,92,Action
Under Paris,5.2,36000,104,Action
Levels,5.0,1400,93,Action
Dominique,5.3,2100,100,Action
The Shadow Strays,6.5,8900,144,Action
Armor,3.5,3600,89,Action
Trigger Warning,4.6,19000,106,Action
Agents,3.7,889,82,Action
Twilight of the Warriors: Walled In,7.0,8900,126,Action
Aavesham,7.8,27000,155,Action
Hounds of War,4.5,1700,95,Action
Boneyard,4.1,4800,96,Action
Jacob Tyler,4.8,44,133,Action
Chief of Station,4.7,4400,97,Action
Take Cover,5.1,2300,90,Action
No Way Up,4.6,10000,90,Action
Agent Recon,2.4,658,85,Action
Red Right Hand,5.5,5800,111,Action
11 Rebels,6.2,260,155,Action
Watchmen: Chapter II,7.0,2800,90,Action
Megamind vs. The Doom Syndicate,2.5,5500,83,Action
Sunray: Fallen Soldier,4.3,583,115,Action
Night Call,6.8,1700,97,Action
Singham Again,4.8,75000,144,Action
Damaged,4.7,7100,97,Action
Amaran,8.2,18000,167,Action
Role Play,5.5,19000,100,Action
Vanvaas,6.7,1100,160,Action
Trouble,6.2,6600,98,Action
Echo 8,4.0,169,96,Action
Rifle Club,7.0,4000,113,Action
Dark Match,5.5,830,94,Action
"I, the Executioner",6.3,1600,118,Action
Prey,3.7,3200,86,Action
Code 8: Part II,5.7,16000,100,Action
My Hero Academia: You're Next,7.0,1900,110,Action
Justice League: Crisis on Infinite Earths - Part One,6.2,8300,93,Action
City Hunter,6.3,5500,102,Action
Uprising,6.6,5300,126,Action
River of Blood,5.4,1500,86,Action
My Spy: The Eternal City,5.7,11000,112,Action
Duchess,4.6,1200,114,Action
Harbin,6.5,485,108,Action
Max,7.1,3200,132,Action
Badland Hunters,5.9,12000,107,Action
The Courier,6.0,4300,101,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1,4300,94,Action
The Tiger's Apprentice,5.7,2100,84,Action
Sikandar Ka Muqaddar,6.0,24000,142,Action
Drive Back,4.7,287,94,Action
The Lost Tiger,7.8,34,90,Action
The Price of Money: A Largo Winch Adventure,5.1,1100,100,Action
The Fix,4.6,1100,98,Action
Joe Baby,8.2,26,86,Action
The Roundup: Punishment,6.6,5000,109,Action
One More Shot,5.4,3600,103,Action
Arena Wars,5.0,2000,96,Action
Mafia Wars,3.4,212,94,Action
Raayan,6.5,11000,145,Action
Elyas,6.1,1300,105,Action
Fighter,6.2,52000,166,Action
Striking Rescue,5.7,342,106,Action
Lights Out,4.9,1700,90,Action
Article 370,7.8,24000,158,Action
Devara Part 1,6.0,20000,176,Action
200% Wolf,6.0,1300,98,Action
Officer Black Belt,6.8,7900,108,Action
Simarik,6.4,2300,111,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8300,104,Action
Air Force One Down,4.4,2800,84,Action
The Wages of Fear,4.6,4000,104,Action
The Prosecutor,6.8,1400,117,Action
Kill Em All 2,4.1,1300,88,Action
The Quiet Ones,6.5,522,110,Action
Khadaan,7.4,2000,137,Action
Darkness of Man,4.8,3100,109,Action
Operation Blood Hunt,3.4,455,93,Action
Rats!,8.0,77,85,Action
Ultraman: Rising,6.9,6200,117,Action
Jigra,6.0,23000,153,Action
One Fast Move,5.0,2200,108,Action
Angels Fallen: Warriors of Peace,4.9,5800,103,Action
The Last Kumite,4.6,2300,105,Action
Murder Company,3.7,1500,86,Action
Panda Plan,5.1,1100,99,Action
Karma,8.1,1400,167,Action
Bougainvillea,6.4,3000,138,Action
Golden Kamuy,6.3,2500,127,Action
Cloud,6.3,895,123,Action
Pani,6.9,2800,143,Action
Utopia,3.6,340,91,Action
Latency,4.2,1700,94,Action
The Thundermans Return,5.0,1800,70,Action
Death Whisperer 2,6.4,1300,110,Action
Dan Da Dan: First Encounter,8.2,2600,83,Action
Everybody Loves Jenifa,8.4,78,135,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5,5200,94,Action
Sucha Soorma,6.5,908,136,Action
Freedom,5.9,1300,110,Action
WWII: Operation Phoenix,6.6,63,106,Action
Anaconda,4.9,601,84,Action
The Family Star,5.4,5400,159,Action
My Fathers' Daughter,6.6,71,78,Action
Die Hart 2: Die Harter,4.3,5400,92,Action
Life After Fighting,6.4,1900,126,Action
Hanu Man,7.7,29000,158,Action
Ferry 2,5.6,3700,94,Action
Wynonna Earp: Vengeance,5.6,1500,96,Action
Fight Another Day,5.1,326,97,Action
Wanted Man,4.8,2500,85,Action
Hijack 1971,6.8,3200,100,Action
Terminator: Skynet Rising,6.8,258,88,Action
The Greatest of All Time,5.7,22000,183,Action
Alien: Rubicon,2.4,329,86,Action
Zero,6.1,38,88,Action
Saripodhaa Sanivaaram,7.0,8900,166,Action
The Clean Up Crew,4.1,1100,95,Action
Sixty Minutes,5.7,5100,88,Action
Escape,6.4,1900,94,Action
Razakar: The Silent Genocide of Hyderabad,7.4,5300,166,Action
Outlaw,5.2,902,82,Action
Viduthalai Part 2,8.0,15000,170,Action
Revolver,5.4,819,114,Action
Snow White and the Seven Samurai,3.2,263,88,Action
The Ballad of Davy Crockett,4.6,245,96,Action
The Hangman,3.3,986,92,Action
Savi,6.2,35000,126,Action
Agni,7.3,15000,122,Action
Spiders on a Plane,5.7,360,78,Action
"Love, Courage and the Battle of Bushy Run",5.0,173,113,Action
A Legend,4.7,855,129,Action
Kanguva,4.5,14000,152,Action
Baby Invasion,5.8,63,80,Action
Handsome Guys,6.5,751,101,Action
72 Hours,4.1,280,87,Action
Cells at Work!,6.8,168,109,Action
The Slave and the Sorcerer,6.7,37,86,Action
Heart of the Hunter,4.7,2100,105,Action
Bagheera,6.7,7300,158,Action
Chandu Champion,7.8,34000,142,Action
The Last Front,5.5,599,98,Action
London Calling,7.5,17,109,Action
The Lockdown,4.3,595,117,Action
Vettaiyan,7.0,39000,163,Action
Cassino in Ischia,4.4,229,113,Action
Vedaa,6.0,4200,145,Action
40 Acres,6.5,101,113,Action
Overlord: The Sacred Kingdom,7.0,699,135,Action
Nice Girls,4.2,1200,92,Action
Roadkill,3.6,672,90,Action
Crosspoint,7.3,26,100,Action
A.R.M,7.1,8500,150,Action
Don't Mess with Grandma,6.1,144,81,Action
GTMax,5.0,1200,100,Action
Invasion,4.8,664,91,Action
Get Fast,3.6,435,88,Action
Big Rage,3.6,153,115,Action
Mura,7.3,6200,129,Action
Alangu,8.3,1200,131,Action
12 to Midnight,3.6,275,96,Action
Non Negotiable,5.4,1200,87,Action
War of the Worlds: Extinction,3.0,177,84,Action
Mission: Cross,6.1,2500,105,Action
How to Rob a Bank,6.6,4100,88,Action
Cesium Fallout,6.7,407,136,Action
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2,651,174,Action
The Last Ronin,4.9,225,121,Action
Toofan,7.1,6100,145,Action
12 Gaun,6.3,862,147,Action
Continental Split,3.5,533,88,Action
Black Heat,8.9,73,93,Action
Guntur Kaaram,5.4,25000,159,Action
Devil's Knight,5.4,777,90,Action
Thangalaan,6.6,6500,156,Action
The Twisters,2.5,314,86,Action
Bade Miyan Chote Miyan,3.8,39000,163,Action
Bionic,4.3,1700,110,Action
Yolo,6.9,3600,129,Action
High Forces,5.8,504,119,Action
School of Magical Animals 3,5.9,297,105,Action
The Last of Us: Immunity,6.3,13,64,Action
Kingdom 4: Return of the Great General,7.1,1200,145,Action
Bachhala Malli,8.3,3900,140,Action
Crakk: Jeetega... Toh Jiyegaa,4.7,6500,154,Action
UI,6.9,5600,135,Action
Escape from the 21st Century,6.5,811,98,Action
Taken from Rio Bravo,3.0,307,80,Action
Sector 17,7.4,1300,146,Action
Diabel,5.1,200,108,Action
Art of Eight Limbs,4.0,304,101,Action
Eye for an Eye 2,6.5,482,90,Action
The Charisma Killers,6.1,641,101,Action
Pimpinero: Blood and Oil,5.6,537,121,Action
Yodha,5.7,8800,130,Action
Ryan's World the Movie: Titan Universe Adventure,1.8,641,80,Action
Je Jatt Vigarh Gya,5.7,815,132,Action
Blade of Fury,6.1,112,90,Action
Ka Whawhai Tonu,7.4,169,115,Action
The Friendly,8.1,15,101,Action
Dange,5.4,786,154,Action
The Firefighters,5.8,149,106,Action
Alienoid: The Return to the Future,6.5,2500,122,Action
Hunting with Tigers,5.6,506,109,Action
Paradise,6.9,77,83,Action
Devaki Nandana Vasudeva,8.9,2700,128,Action
Deaner '89,5.9,414,90,Action
Hellhound,4.3,489,103,Action
Bloodline,9.2,46,80,Action
Auron Mein Kahan Dum Tha,6.6,40000,150,Action
Shark Warning,3.4,247,94,Action
Jathara,6.4,1000,129,Action
Nothing Even Matters,5.5,72,90,Action
Snatched,4.9,207,101,Action
No Time to Spy: A Loud House Movie,6.4,435,81,Action
Memes & Nightmares,5.7,76,81,Action
Operation Undead,4.6,354,110,Action
Fyre Rises,6.5,321,110,Action
Witch Hunter,5.2,21,80,Action
Mr. Bachchan,3.6,5200,150,Action
Bureau 749,4.1,502,123,Action
Martin,2.3,36000,147,Action
The Unbreakable Bunch,7.1,25,0,Action
Ayalaan,6.0,4000,155,Action
Rajakili,8.1,550,122,Action
Crisis Negotiators,6.7,691,120,Action
Yudhra,5.0,13000,142,Action
Baby Assassins: Nice Days,7.3,268,103,Action
Bangkok Dog,6.3,95,85,Action
Sorgavaasal,6.6,1300,138,Action
The Actor,3.3,722,128,Action
Tillu Square,6.6,3400,137,Action
Mummy Shark,2.0,168,66,Action
Eagle,5.9,4900,159,Action
Orang Ikan,6.5,31,83,Action
Zebra,8.0,3200,164,Action
S.T.A.L.K.E.R.: Shadow of the Zone,5.2,448,72,Action
Customs Frontline,5.4,461,115,Action
Rogue Elements: A Ryan Drake Story,4.9,914,44,Action
The Kingdom,7.9,85,133,Action
Pottel,8.3,2700,148,Action
Lady Scorpions,3.6,361,101,Action
Fighting the Fire,8.6,1700,115,Action
Ballistic,2.3,161,95,Action
(Pri)sons,5.1,251,100,Action
Xiong Shi Shao Nian 2,7.5,184,134,Action
Rendel: Cycle of Revenge,3.6,242,99,Action
Mobile Suit Gundam SEED Freedom,6.6,923,124,Action
Gandhi 3,5.5,231,143,Action
Conquer: Lahad Datu,6.7,495,120,Action
Siren,6.4,2900,154,Action
Raqa,6.5,58,107,Action
Garudan,7.1,3300,133,Action
Road Wars: Max Fury,2.0,349,83,Action
Clone Cops,8.1,185,96,Action
Reloaded 2,8.0,1000,45,Action
Barroz: Guardian of Treasures,3.5,943,155,Action
Kuang Bao Ju Xi,6.1,68,75,Action
Baki Hanma VS Kengan Ashura,5.7,1900,62,Action
Abudeka Is Back,5.3,29,120,Action
Rode College,6.6,421,168,Action
Buddy,3.8,340,137,Action
Ape X Mecha Ape: New World Order,2.7,128,87,Action
Kahar: Kapla High Council,7.0,442,102,Action
Aserb: The Squadron,5.2,298,120,Action
Bangkok Breaking: Heaven and Hell,5.8,652,146,Action
Kamen Rider 555 20th: Paradise Regained,5.9,141,65,Action
Bonus Trip,4.5,217,113,Action
Stranded Pearl,6.0,27,90,Action
Turbo,5.9,3500,155,Action
Exorcism Chronicles: The Beginning,7.0,66,85,Action
Ghosts of Red Ridge,3.3,145,81,Action
Desperado,5.9,139,100,Action
Drive,5.7,312,90,Action
The Mick and the Trick,5.0,75,96,Action
Love You to Debt,6.2,747,135,Action
Mission: Chapter 1,5.9,1700,144,Action
Bhaiyya Ji,4.8,7400,150,Action
Premalo,7.3,1100,128,Action
Sheriff,6.9,1100,133,Action
Kill Craft,2.3,361,99,Action
Mechanic Rocky,6.5,3400,156,Action
Anchakkallakokkan,6.6,1000,126,Action
The Miranda Brothers,4.4,187,99,Action
Operation Valentine,5.3,1400,133,Action
Prepare to Die,4.6,228,93,Action
Naam,6.4,274,136,Action
Big City Greens the Movie: Spacecation,6.2,530,0,Action
Sayen: The Huntress,4.4,252,88,Action
Neon Fear,6.1,387,40,Action
Ship of the Damned,2.8,293,88,Action
Rang De Basanti,8.8,144,174,Action
The Infallibles,4.8,745,99,Action
Oru Anveshanathinte Thudakkam,7.1,830,181,Action
Captain Miller,6.5,8600,157,Action
Spirit Riser,6.7,33,98,Action
Camp Blood: Clown Shark,3.3,82,70,Action
Bhaje Vaayu Vegam,6.1,544,136,Action
Kung Fu Games,3.3,373,98,Action
Hrashwo Deergha,7.9,79,150,Action
Troubleshooters,6.7,401,110,Action
Sasan,8.5,63,155,Action
Bidurbhai,9.2,375,148,Action
Ruslaan,3.3,1200,120,Action
Samandar,7.6,136,172,Action
Sentimentaaal,5.8,971,135,Action
The Grey Men,6.5,69,97,Action
Losing Lerato 2,9.1,31,96,Action
Mother Mafia,3.3,47,80,Action
Sabari,8.4,5400,129,Action
Ghost Killer,7.2,58,105,Action
They Call Her Death,6.2,23,92,Action
Pusaka,6.4,31,90,Action
Yuva,5.8,834,153,Action
Saindhav,5.0,1600,138,Action
How to Make a Werewolf,5.6,82,0,Action
Angel of the Warrior,8.5,132,90,Action
Breaking and Re-entering,5.8,433,109,Action
Cholo Zombies,4.7,101,96,Action
Bandaa Singh Chaudhary,6.3,5200,113,Action
Taklee Genesis x Worlds Collide,5.5,382,146,Action
Hunt the Wicked,5.3,106,102,Action
Buying Time,7.0,259,84,Action
The Burden of Nine Lives,4.8,100,116,Action
The Circuit 4: Faith Fighter,4.4,87,90,Action
The Traveller,5.2,201,134,Action
